Study ID,Year,Authors,Title,Venue,Publication type,Peer reviewed,Modality,Forward model,Mismatch type,Solver family,Physics integration,Joint image/operator,Image UQ,Operator UQ,Calibration,OOD test,Real data/hardware,Compound degradation,Time varying,Hallucination test,Abstention,Code available,Evidence status,Inclusion decision,Closest competitor,Gap left open,Primary source URL,Review notes
P061,2026,Endrei & Cserey,S3-CLIP: Video Super Resolution for Person-ReID,WACV Workshops,Conference,Yes,Surveillance video super-resolution,Extreme low-resolution surveillance pipeline,"Downsampling, JPEG and motion blur",Semantics-guided VSR,Implicit,No,No,No,No,Yes,Yes,Partial,Yes,Partial,No,Yes,Full text/code verified,Include,Yes,"Notes plausible identity-changing detail but provides no calibrated support test, operator UQ or abstention",https://doi.org/10.1109/WACVW68408.2026.00174,Best downstream forensic-reliability comparator
P062,2023,Teneggi et al.,How to Trust Your Diffusion Model: A Convex Optimization Approach to Conformal Risk Control,ICML,Conference,Yes,Denoising/CT,Known denoising/imaging task,Reconstruction uncertainty,Conformal risk control for diffusion,None/statistical,No,Yes,No,Yes,No,Yes,No,No,Partial,No,Unknown,PMLR verified,Include,Yes,"Known task and exchangeable labelled calibration; no operator mismatch, support guarantee or abstention",https://proceedings.mlr.press/v202/teneggi23a.html,Strong conformal-risk component
P063,2024,Wen et al.,Task-Driven Uncertainty Quantification in Inverse Problems via Conformal Prediction,ECCV,Conference,Yes,Accelerated MRI,Known MRI acquisition operator,Task uncertainty,Task-driven conformal prediction,Hard/task model,No,Yes,No,Yes,No,Yes,No,No,Partial,Partial,Unknown,Publisher/preprint verified,Include,Yes,"Known operator and labelled calibration; no operator UQ, compound shift or reconstruction rejection",https://doi.org/10.1007/978-3-031-73027-6_11,Task-level reliability comparator
P064,2024,Lütjen et al.,Learning-Based Approaches for Reconstructions With Inexact Operators in nanoCT Applications,IEEE TCI,Journal,Yes,nanoCT,Inexact tomographic operator,Operator perturbation,Conditional invertible reconstruction network,Implicit/probabilistic,No,Yes,Partial,No,Yes,No,No,No,No,No,Unknown,Publisher/preprint verified,Include,Yes,"No explicit operator posterior/calibration, compound mismatch, support audit, abstention or real hardware",https://doi.org/10.1109/TCI.2024.3380319,Closest inexact-operator plus image-UQ study
P065,2025,Ekmekci & Cetin,Conformalized Generative Bayesian Imaging: An Uncertainty Quantification Framework for Computational Imaging,IEEE TCI,Journal,Yes,CT/MRI/inpainting,Known linear acquisition operators,Image and training uncertainty,Generative Bayesian imaging plus conformal calibration,Soft likelihood/statistical,No,Yes,No,Yes,Partial,Yes,No,No,Partial,No,Unknown,Publisher/preprint verified,Include,Yes,"Deterministic known operator; no operator uncertainty, compound shift, support test or abstention",https://doi.org/10.1109/TCI.2025.3649389,Strongest calibrated image-UQ competitor
P066,2025,Everink et al.,Self-supervised Conformal Prediction for Uncertainty Quantification in Imaging Problems,SSVM,Conference,Yes,Denoising/deblurring,Known linear operator,Image uncertainty without ground truth,SURE-based conformal prediction,Hard/statistical,No,Yes,No,Yes,Partial,Partial,No,No,No,No,Unknown,Publisher verified,Include,No,"Restricted known linear/Gaussian setting; no compound mismatch, operator UQ, support test or selection",https://doi.org/10.1007/978-3-031-92366-1_9,Useful calibration method
P067,2025,Ye et al.,QUTCC: Quantile Uncertainty Training and Conformal Calibration for Imaging Inverse Problems,arXiv,Preprint,No,Denoising/MRI/QPM,Known task-dependent operators,Image uncertainty and hallucination,Quantile training plus conformal calibration,Statistical,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Unknown,Full preprint verified,Include,Yes,"Known operator and paired calibration; no measurement-support guarantee, operator UQ or abstention",https://arxiv.org/abs/2507.14760,Preprint reliability threat
P068,2020,Abu Hussein et al.,Correction Filter for Single Image Super-Resolution,CVPR,Conference,Yes,Single-image super-resolution,Blur plus downsampling,Test kernel differs from training operator,Observation correction filter,Hard/pre-correction,Partial,No,No,No,Yes,No,No,No,No,No,Unknown,Full text verified,Include,No,"Fixed static operator class, point estimates and synthetic tests; no compound physical chain or reliability layer",https://doi.org/10.1109/CVPR42600.2020.00150,Early operator-mismatch baseline
P069,2020,Asim et al.,Blind Image Deconvolution Using Deep Generative Priors,IEEE TCI,Journal,Yes,Blind deconvolution,Spatially invariant convolution,Unknown blur kernel,Alternating deep generative priors,Soft prior/likelihood,Yes,No,No,No,Partial,No,No,No,No,No,Unknown,Full text verified,Include,No,"Generator-range sensitivity, synthetic degradation and no calibrated dual UQ, support analysis or abstention",https://doi.org/10.1109/TCI.2020.3032671,Foundational joint image/kernel baseline
P070,2026,Janjua et al.,Grounding Degradations in Natural Language for All-In-One Video Restoration,WACV,Conference,Yes,All-in-one video restoration,Prompt-described degradation chain,"Time-varying snow, blur, noise and compression",Language-grounded video restoration,Implicit,No,No,No,No,Yes,No,Yes,Yes,Partial,No,Yes,Full text/code verified,Include,Yes,"Synthetic/non-CCTV; prompts can include extraneous degradations and there is no operator posterior, calibration, support audit or abstention",https://arxiv.org/abs/2507.14851,Closest prompt-conditioned compound-video competitor
P071,2023,Park et al.,All-in-One Image Restoration for Unknown Degradations Using Adaptive Discriminative Filters for Specific Degradations,CVPR,Conference,Yes,All-in-one restoration,Implicit corruption process,Multiple unknown degradation types,Adaptive discriminative filters,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full text verified,Include,No,"No explicit acquisition operator, calibrated uncertainty, support audit or abstention",https://openaccess.thecvf.com/content/CVPR2023/html/Park_All-in-One_Image_Restoration_for_Unknown_Degradations_Using_Adaptive_Discriminative_Filters_CVPR_2023_paper.html,Universal restoration baseline
P072,2023,Wang et al.,PromptRestorer: A Prompting Image Restoration Method with Degradation Perception,NeurIPS,Conference,Yes,All-in-one restoration,Implicit corruption process,Multiple degradation types and levels,Degradation-aware prompting network,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full text verified,Include,No,Degradation perception is not operator posterior estimation and provides no calibrated reliability control,https://proceedings.neurips.cc/paper_files/paper/2023/file/1c364d98a5cdc426fd8c76fbb2c10e34-Paper-Conference.pdf,Universal prompting baseline
P073,2024,Jiang et al.,AutoDIR: Automatic All-in-One Image Restoration with Latent Diffusion,ECCV,Conference,Yes,All-in-one restoration,Implicit unknown degradations,Multiple unknown corruption types,BIQA plus latent diffusion restoration,Implicit,No,No,No,No,Yes,Partial,Yes,No,Partial,No,Yes,Publisher/preprint verified,Include,Yes,Quality assessment is not physical operator inference; no calibrated support or selective refusal,https://doi.org/10.1007/978-3-031-73661-2_19,Closest automatic generative all-in-one baseline
P074,2024,Luo et al.,Controlling Vision-Language Models for Universal Image Restoration,ICLR,Conference,Yes,Universal restoration,Implicit corruption process,Multiple known and unseen restoration tasks,Degradation-aware CLIP conditioning,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full text verified,Include,Yes,"No explicit physics, operator uncertainty, measurement-support guarantee or abstention",https://openreview.net/forum?id=t3vnnLeajU,Strong vision-language restoration baseline
P075,2024,Ai et al.,"Multimodal Prompt Perceiver: Empower Adaptiveness, Generalizability and Fidelity for All-in-One Image Restoration",CVPR,Conference,Yes,All-in-one restoration,Implicit corruption process,Nine trained tasks and unseen restoration tasks,Multimodal prompt perceiver,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full text verified,Include,Yes,"Generalisation is task-level; no operator posterior, calibration, support audit or failure policy",https://doi.org/10.1109/CVPR52733.2024.02403,High-capacity universal restoration competitor
P076,2024,Conde et al.,InstructIR: High-Quality Image Restoration Following Human Instructions,ECCV,Conference,Yes,Instruction-guided restoration,Prompt-specified degradation,Multiple degradation types and severities,Instruction-conditioned transformer,Implicit,No,No,No,No,Yes,Partial,Yes,No,No,No,Yes,Full text/code verified,Include,No,Prompts do not establish the real acquisition operator or evidential support for generated detail,https://arxiv.org/abs/2401.16468,Language-guided restoration baseline
P077,2024,Chen et al.,RestoreAgent: Autonomous Image Restoration Agent via Multimodal Large Language Models,NeurIPS,Conference,Yes,Compound image restoration,Sequential restoration tool chain,Up to four simultaneous degradations,MLLM task planning and model selection,Implicit,Partial,No,No,No,Yes,Partial,Yes,No,Partial,Partial,Yes,Full text verified,Include,Yes,"Planner choices are not calibrated; no image/operator posterior, measurement support or real surveillance validation",https://proceedings.neurips.cc/paper_files/paper/2024/file/c78f639424b8d89ceb4f2efbb4dfe4f4-Paper-Conference.pdf,Closest modular compound-restoration planner
P078,2024,Ai et al.,DreamClear: High-Capacity Real-World Image Restoration with Privacy-Safe Dataset Curation,NeurIPS,Conference,Yes,Real-world restoration,Implicit real degradation,Mixed real-world degradation,Large conditional diffusion model,Implicit,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Full text verified,Include,Yes,"Perceptual realism can introduce unsupported detail; no operator UQ, calibration or abstention",https://proceedings.neurips.cc/paper_files/paper/2024/file/6452474601429509f3035dc81c233226-Paper-Conference.pdf,Generative fidelity-risk baseline
P079,2024,Tu et al.,Taming Generative Diffusion Prior for Universal Blind Image Restoration,NeurIPS,Conference,Yes,Universal blind restoration,Optimisable convolutional surrogate,Multiple and compound degradation,Blind diffusion with adaptive kernel,Soft likelihood,Partial,Partial,Partial,No,Yes,Yes,Yes,No,Partial,No,Yes,Full text verified,Include,Yes,Single surrogate kernel cannot identify a full camera/codec chain; uncertainty is not calibrated,https://proceedings.neurips.cc/paper_files/paper/2024/hash/25869dbf7682272357bc2cbbf860e1c8-Abstract-Conference.html,Major threat to broad universal-blind claims
P080,2023,Fei et al.,Generative Diffusion Prior for Unified Image Restoration and Enhancement,CVPR,Conference,Yes,Unified restoration,Task-specific parametric degradation,Multiple restoration and enhancement tasks,Diffusion prior with parameter optimisation,Soft likelihood,Partial,Partial,Partial,No,Yes,Partial,Yes,No,No,No,Yes,Full text verified,Include,Yes,"Simplified degradation functions, slow inference and no calibrated operator/image reliability",https://openaccess.thecvf.com/content/CVPR2023/html/Fei_Generative_Diffusion_Prior_for_Unified_Image_Restoration_and_Enhancement_CVPR_2023_paper.html,Early unified blind-diffusion baseline
P081,2024,Zhussip et al.,A Modular Conditional Diffusion Framework for Image Reconstruction,NeurIPS,Conference,Yes,Multiple restoration tasks,Task-dependent operator,Task transfer and computational burden,Modular conditional diffusion,Implicit/conditional,No,Partial,No,No,Partial,Partial,No,No,No,No,Yes,Full text verified,Include,No,Does not infer mismatched operators or certify generated detail,https://proceedings.neurips.cc/paper_files/paper/2024/hash/b213d9a999b82cb6fcd03a0d5a7498be-Abstract-Conference.html,Efficient diffusion restoration baseline
P082,2024,Li & Pereira,Solving Inverse Problems via Diffusion Optimal Control,NeurIPS,Conference,Yes,General inverse imaging,Differentiable forward operator,Likelihood and score approximation,Diffusion optimal control,Hard/iterative,No,Partial,No,No,Partial,Partial,No,No,No,No,Yes,Full text verified,Include,No,Assumes a differentiable usable operator; no blind compound mismatch or calibrated failure detection,https://proceedings.neurips.cc/paper_files/paper/2024/hash/86655bc516148e311bcfcf88f1744de7-Abstract-Conference.html,General inverse-solver baseline
P083,2024,Xu & Chi,Provably Robust Score-Based Diffusion Posterior Sampling for Plug-and-Play Image Reconstruction,NeurIPS,Conference,Yes,General inverse imaging,General nonlinear operator,Noise and score approximation,Diffusion plug-and-play posterior sampling,Hard/iterative,No,Yes,No,Partial,Partial,Partial,No,No,No,No,Yes,Full text verified,Include,Yes,"Robustness assumes the likelihood operator; no unknown acquisition chain, empirical dual calibration or abstention",https://proceedings.neurips.cc/paper_files/paper/2024/hash/3fa2d2b637122007845a2fbb7c21453b-Abstract-Conference.html,Important theoretical robustness comparator
P084,2024,Zhang et al.,Unleashing the Denoising Capability of Diffusion Prior for Solving Inverse Problems,NeurIPS,Conference,Yes,General inverse imaging,Linear and nonlinear operator,Noisy measurements,Projected diffusion optimisation,Hard/iterative,No,Partial,No,No,Partial,Partial,No,No,No,No,Yes,Full text verified,Include,No,"Known-operator method without mismatch recovery, calibrated UQ or support-based refusal",https://proceedings.neurips.cc/paper_files/paper/2024/hash/54fa8255cdf30736ecad38e842725e7f-Abstract-Conference.html,Data-consistency baseline
P085,2025,Elata et al.,InvFusion: Bridging Supervised and Zero-shot Diffusion for Inverse Problems,NeurIPS,Conference,Yes,General inverse imaging,Linear degradation operator,Test-time degradation variation,Operator-conditioned diffusion posterior sampler,Hard/conditional,No,Yes,No,Partial,Yes,Partial,No,No,No,No,Yes,Full text verified,Include,Yes,"Requires an available operator; no blind compound chain, operator UQ, support audit or abstention",https://proceedings.neurips.cc/paper_files/paper/2025/hash/33367b9ff199d26280db6cf539d1125c-Abstract-Conference.html,Strong operator-conditioned posterior baseline
P086,2025,Erbach et al.,Solving Inverse Problems with FLAIR,NeurIPS,Conference,Yes,General inverse imaging,Differentiable degradation,Likelihood/prior conflict,Flow-based variational inversion,Hard/variational,No,Yes,No,Partial,Partial,Partial,No,No,No,No,Yes,Full text verified,Include,Yes,Calibration tunes regularisation rather than predictive coverage; unknown operators and selective risk remain open,https://proceedings.neurips.cc/paper_files/paper/2025/hash/c7ae6e9659f0c99582c2e8214ba0b413-Abstract-Conference.html,Strong data-consistent generative comparator
P087,2025,Jayaram et al.,Linearly Constrained Diffusion Implicit Models,NeurIPS,Conference,Yes,Linear inverse imaging,Linear operator,Noisy linear measurements,Constrained diffusion implicit model,Hard/iterative,No,Partial,No,No,Partial,Partial,No,No,No,No,Yes,Full text verified,Include,No,Known linear operator only; residual alignment is not reconstruction calibration or mismatch awareness,https://proceedings.neurips.cc/paper_files/paper/2025/hash/d92d3aec6a48e93f93194503ee49f11a-Abstract-Conference.html,Fast measurement-consistency baseline
P088,2024,Wang et al.,Exploiting Diffusion Prior for Real-World Image Super-Resolution,IJCV,Journal,Yes,Blind super-resolution,Unknown real degradation,"Blur, noise, compression and resolution loss",StableSR diffusion prior,Implicit,No,No,No,No,Yes,Yes,Yes,No,Partial,No,Yes,Full text verified,Include,Yes,User-controlled fidelity is not measurement-supported certification; no operator posterior or calibrated abstention,https://doi.org/10.1007/s11263-024-02092-y,Generative fidelity trade-off comparator
P089,2024,Wu et al.,SeeSR: Towards Semantics-Aware Real-World Image Super-Resolution,CVPR,Conference,Yes,Real-world super-resolution,Unknown real degradation,Mixed low-resolution degradation,Semantic-prompt diffusion SR,Implicit,No,No,No,No,Yes,Yes,Yes,No,Partial,No,Yes,Full text verified,Include,Yes,"Semantic priors can invent plausible detail; no physical support test, operator UQ or refusal policy",https://openaccess.thecvf.com/content/CVPR2024/html/Wu_SeeSR_Towards_Semantics-Aware_Real-World_Image_Super-Resolution_CVPR_2024_paper.html,Critical hallucination-risk baseline
P090,2024,Zhou et al.,Upscale-A-Video: Temporal-Consistent Diffusion Model for Real-World Video Super-Resolution,CVPR,Conference,Yes,Real-world video super-resolution,Unknown video degradation,"Resolution loss, blur, noise and compression",Temporally conditioned diffusion,Implicit,No,No,No,No,Yes,Yes,Yes,Yes,Partial,No,Yes,Full text verified,Include,Yes,"No explicit acquisition operator, calibrated uncertainty, evidence-support audit or abstention",https://openaccess.thecvf.com/content/CVPR2024/html/Zhou_Upscale-A-Video_Temporal-Consistent_Diffusion_Model_for_Real-World_Video_Super-Resolution_CVPR_2024_paper.html,Closest real-world generative video-SR baseline
